Gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
RP11-51L5.3,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,4,2,2,2,0,0,1
RP11-51L5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-51L5.5,42,27,1,0,2,1,1,0,4,7,10,6,0,0,0,0,0,10,17,34,0,15,26,118,48,51,36,19,7,31
RP11-51L5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-51M18.1,1,0,0,2,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
RP11-51M24.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-51O6.1,3553,2782,2018,1125,637,902,274,45,585,1037,1653,2424,3,66,0,193,360,2690,687,592,222,490,1596,1339,2517,1768,2606,881,891,2862
RP11-51P8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0
RP11-520A21.1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,1,0,3
RP11-520B13.4,1,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0
RP11-520D19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-520D19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
RP11-520H14.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,4,1
RP11-520H16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,2,0,2,0,0
RP11-520P18.1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,4,1,0,1,0,10,1,2
RP11-520P18.5,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RP11-521A24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
RP11-521B24.3,2,3,49,23,6,14,0,0,1,4,8,3,0,0,0,1,1,12,3,3,0,0,9,2,4,3,13,9,9,8
RP11-521B24.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
RP11-521C10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
RP11-521C20.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,0,0,2,0,0
RP11-521C20.2,0,0,0,0,1,10,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
RP11-521C20.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP11-521D12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
RP11-521D12.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,5,1,2
RP11-521D12.4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-521D12.5,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,3,0,1,12,3,0,3,0,6,2,3
RP11-521E5.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-521F1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11-521I2.3,133,382,64,2,3,166,24,1,90,427,55,148,1,21,29,0,0,78,163,125,0,0,146,270,222,202,344,226,78,161
RP11-521J24.1,7,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0
RP11-521J5.1,27,17,16,3,8,5,1,0,15,5,23,22,0,0,0,0,0,24,36,130,0,17,36,21,8,9,12,51,17,10
RP11-521L9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-521L9.2,4,0,0,0,0,3,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,0,6,0
RP11-521M14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-521M14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-521O16.1,0,0,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,1,5,0,1
RP11-521O16.2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0
RP11-521P1.1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
RP11-522B15.1,4,1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,3,7,22,2,2,3,1,2,3,1,13,5,2
RP11-522B15.3,0,0,0,0,0,0,0,0,0,0,1,0,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
RP11-522B15.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-522B15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-522B15.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,2,1,0,2,1,1,0,3,5
RP11-522B15.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-522D2.1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
RP11-522I20.3,21,25,1,1,13,46,11,14,11,16,17,34,0,1,2,0,0,16,3,17,2,0,21,9,21,18,14,10,3,18
RP11-522L3.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RP11-522L3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP11-522L3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0
RP11-522L3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-522L3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-522L3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-522M21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-522M21.3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,1
RP11-522N14.2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
RP11-523G9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-523H20.3,14,15,3,0,0,0,6,2,2,2,7,0,0,0,16,0,1,41,5,14,0,0,3,18,0,21,12,29,55,26
RP11-523H24.3,9,9,0,0,0,0,0,0,4,22,7,8,0,0,0,0,0,0,11,1,0,172,4,4,5,1,13,3,0,3
RP11-523K4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11-523L1.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RP11-523L20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-523L20.2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,2
RP11-523O18.1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,1,10,0,1,0
RP11-523O18.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
RP11-523O18.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,4,0,3
RP11-524C21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
RP11-524C21.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
RP11-524D16__A.3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-524F11.1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
RP11-524F11.2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,1,1,0,3,0,0,2,1,1,5,0,0,1,0
RP11-524G24.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
RP11-524H19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11-524K14.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-524K22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-524L6.2,35,12,14,0,1,5,7,0,3,31,23,7,0,0,0,0,0,43,7,4,0,4,7,10,18,8,17,9,6,33
RP11-524L6.3,35,34,3,0,1,4,1,0,3,25,11,27,0,0,0,0,0,55,9,12,0,13,22,49,22,35,28,16,11,18
RP11-524L6.4,0,0,0,3,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,0,1,1,0,0,1,1,1,0,1
RP11-524O1.4,0,4,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,70,3,4,0,0,2,2,10,8,7,4,0,11
RP11-524O24.2,4,6,2,2,1,0,0,0,12,1,5,11,3,0,0,1,1,31,9,48,2,9,14,9,3,2,3,11,4,7
RP11-524P6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP11-525A16.4,7,16,8,0,11,0,1,0,5,0,1,0,0,0,0,1,0,0,0,17,0,1,5,2,2,6,9,5,0,7
RP11-525E9.1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,1,3,0,2,1,0,0,0
RP11-525G13.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
RP11-525J21.1,1,1,1,4,3,0,0,5,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
RP11-525K10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
RP11-525K10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-525K10.3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,2,0,1,3,1,0,0,0,1,0,0
RP11-526A4.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
RP11-526D8.7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,2,0,3,1,2,0,1
RP11-526F3.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP11-526H11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
RP11-526I2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-526I2.5,158,199,33,1,4,214,8,0,46,91,27,46,0,0,0,0,0,96,155,103,291,1,129,80,16,142,140,21,23,13
RP11-526I8.2,7,3,0,2,0,3,0,0,0,1,3,3,0,0,0,0,0,4,0,3,0,2,1,3,7,2,8,2,1,1
RP11-526K17.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
RP11-526K21.2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,2
RP11-526N18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RP11-526P5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-526P5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP11-526P6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-527B17.2,6,13,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,3,0,0,8,12,10,9,4,0,0,3
RP11-527D15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RP11-527D7.1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
RP11-527F13.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,4
RP11-527H14.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-527H14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
RP11-527H14.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
RP11-527H14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-527H14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-527J8.1,52,71,0,1,0,26,1,0,19,50,8,12,0,0,0,0,0,25,26,25,0,0,38,54,9,40,49,36,3,30
RP11-527L4.2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,1,1,1
RP11-527L4.5,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,14,0,0,3,0,6,1,2,1,0,0
RP11-527L4.6,2,0,0,0,0,0,0,1,1,0,0,0,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RP11-527N22.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RP11-527N22.2,1,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
RP11-528A10.1,54,20,94,4,3,1,8,0,21,18,15,52,0,0,2,0,0,18,8,8,0,14,19,46,72,61,70,26,20,12
RP11-528A10.2,36,34,33,41,20,14,1,1,2,14,18,15,0,0,0,37,38,12,2,2,0,1,18,20,14,5,9,2,6,8
RP11-528A4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-528A4.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
RP11-528G1.2,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,1,3,1,6,0,1,2
RP11-528I4.2,4,3,0,0,0,0,0,0,2,0,4,0,3,0,1,0,0,0,0,3,0,1,0,1,0,2,6,0,0,0
RP11-528M18.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-528N21.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RP11-529A4.10,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529A4.12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0
RP11-529A4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-529A4.4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0
RP11-529A4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529A4.7,0,0,1,0,0,0,0,5,0,0,0,0,4,1,2,0,1,1,0,1,0,1,0,0,0,0,0,2,1,0
RP11-529A4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529E10.6,21,30,0,0,18,0,2,42,22,29,39,15,0,13,23,0,0,42,22,9,0,0,10,16,3,28,30,26,36,29
RP11-529E10.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-529E15.1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
RP11-529F4.1,3,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,2,1,4,4,1,0,4
RP11-529G21.2,1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
RP11-529G21.3,6,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,3,0,3,5,1,0,5
RP11-529H2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
RP11-529H2.2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,1,7,0,3,7,6,1,0
RP11-529H20.3,77,53,40,23,17,72,7,14,27,43,109,113,3,2,15,32,65,125,86,74,10,143,67,55,21,43,46,60,42,72
RP11-529H20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529H20.6,67,47,143,12,57,83,2,13,39,81,61,16,0,0,0,2,0,73,32,35,0,0,73,47,13,90,85,45,27,51
RP11-529H22.1,6,6,3,2,0,2,1,0,1,2,6,0,0,0,0,0,0,0,5,14,0,0,2,4,1,2,2,2,0,3
RP11-529J17.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529J17.3,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
RP11-529J17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
RP11-529K1.2,4,11,0,0,33,0,0,0,4,24,7,3,0,0,0,2,0,0,9,5,0,0,5,3,0,9,9,8,20,2
RP11-529K1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529K1.4,13,9,0,0,1,11,1,0,1,0,0,2,0,0,0,0,0,11,2,4,0,0,0,0,5,0,1,0,0,5
RP11-529P9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-52A20.2,7,6,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,9,2,0,0,3,6,1,13,9,4,1,5
RP11-52B19.1,9,3,1,4,2,4,0,0,5,1,3,4,0,0,0,0,0,4,15,52,1,3,10,3,1,1,2,17,8,4
RP11-52B19.10,0,0,0,0,1,0,0,0,1,0,0,2,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,12,0,0
RP11-52B19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,3,1,0,0,0,0,1,3
RP11-52B19.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11-52I18.1,1,1,0,3,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,3,0,1,0,1,0,1,1,2,0,4
RP11-52J3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
RP11-52J3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-52L11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-52L11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-52L11.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
RP11-52L11.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0
RP11-52L5.6,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0
RP11-52M17.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RP11-530A18.1,8,11,0,0,0,0,4,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,6,3,0,2,1,1,1,1
RP11-530C5.1,1,0,0,0,4,0,0,0,0,0,9,0,2,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0
RP11-530C5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
RP11-530I17.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
RP11-530I17.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-530N7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0
RP11-530N7.3,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0,2
RP11-531A21.2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,1,0,0,0,4,0,0
RP11-531A21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,1,0,0,0,2,0,0
RP11-531A21.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
RP11-531A24.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
RP11-531A24.5,44,73,60,3,22,0,8,0,4,47,9,42,1,0,1,0,0,23,28,17,0,0,26,60,4,41,60,36,15,30
RP11-531A24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-531F16.3,8,7,0,81,0,0,0,0,2,21,1,1,0,0,0,0,0,0,0,0,0,1,0,1,6,2,2,7,3,1
RP11-531F16.4,4,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,1,1,0,0,4
RP11-531H8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,3,0,0,1
RP11-531H8.2,80,17,62,2,54,0,1,0,65,200,0,118,0,0,0,148,0,0,7,115,0,0,71,143,53,89,37,45,72,45
RP11-531P14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP11-532E4.2,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,7,0,0,0
RP11-532F12.5,10,1,23,0,1,1,3,0,2,8,3,31,0,0,0,0,0,31,12,10,0,0,4,5,3,8,15,8,5,2
RP11-532F12.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP11-532F6.2,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2,0,0,1,2,5,1,1,2,9,2,2
RP11-532F6.3,24,29,4,1,0,0,5,17,1,49,28,1,1,0,0,0,1,1,3,25,1,0,20,12,7,12,12,9,9,7
RP11-532F6.4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,1
RP11-532F6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
RP11-532L16.1,3,2,0,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,1,0
RP11-532L16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-532M24.1,0,0,1,0,0,0,0,0,5,0,2,10,0,0,0,0,0,22,5,8,0,0,9,2,1,3,6,1,1,23
RP11-532N4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
RP11-533E19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-533E19.3,11,29,1,0,4,13,3,0,13,45,10,7,0,0,0,0,0,20,10,43,2,3,15,27,7,13,19,15,7,15
RP11-533E19.5,22,33,0,31,6,45,0,1,3,26,28,11,0,0,0,0,1,60,11,10,1,0,25,5,12,37,24,13,0,4
RP11-533E19.7,73,54,45,155,39,92,0,167,64,5,48,231,0,72,1,135,0,31,20,17,0,94,65,45,64,146,138,37,10,9
RP11-533F5.2,8,3,19,0,0,0,0,0,0,19,4,0,0,0,0,0,0,3,1,2,0,0,19,14,9,6,3,0,0,16
